timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/15 03:11:55.203, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:11:55.404, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:11:55.604, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:11:55.804, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.55 W
2026/04/15 03:11:56.005, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.55 W
2026/04/15 03:11:56.205, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.55 W
2026/04/15 03:11:56.405, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.55 W
2026/04/15 03:11:56.605, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.55 W
2026/04/15 03:11:56.806, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.55 W
2026/04/15 03:11:57.006, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.35 W
2026/04/15 03:11:57.206, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.35 W
2026/04/15 03:11:57.407, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.35 W
2026/04/15 03:11:57.607, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.35 W
2026/04/15 03:11:57.807, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.35 W
2026/04/15 03:11:58.007, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.65 W
2026/04/15 03:11:58.208, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.65 W
2026/04/15 03:11:58.408, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.65 W
2026/04/15 03:11:58.608, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.65 W
2026/04/15 03:11:58.808, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:11:59.009, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:11:59.209, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:11:59.409, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:11:59.610, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:11:59.810, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:12:00.010, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:12:00.210, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:12:00.411, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:12:00.611, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:12:00.811, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.35 W
2026/04/15 03:12:01.012, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.35 W
2026/04/15 03:12:01.212, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.35 W
2026/04/15 03:12:01.412, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.35 W
2026/04/15 03:12:01.612, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.35 W
2026/04/15 03:12:01.813, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.30 W
2026/04/15 03:12:02.013, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.30 W
2026/04/15 03:12:02.213, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.30 W
2026/04/15 03:12:02.414, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.30 W
2026/04/15 03:12:02.614, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.30 W
2026/04/15 03:12:02.814, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.25 W
2026/04/15 03:12:03.014, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.25 W
2026/04/15 03:12:03.215, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.25 W
2026/04/15 03:12:03.415, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.25 W
2026/04/15 03:12:03.615, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.25 W
2026/04/15 03:12:03.816, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.25 W
2026/04/15 03:12:04.016, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.25 W
2026/04/15 03:12:04.216, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.25 W
2026/04/15 03:12:04.416, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.25 W
2026/04/15 03:12:04.617, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.25 W
2026/04/15 03:12:04.817, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.35 W
2026/04/15 03:12:05.017, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.35 W
2026/04/15 03:12:05.217, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.35 W
2026/04/15 03:12:05.418, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.35 W
2026/04/15 03:12:05.618, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.35 W
2026/04/15 03:12:05.818, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:12:06.019, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:12:06.219, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:12:06.419, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:12:06.619, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:12:06.820, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:07.020, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:07.220, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:07.421, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:07.623, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:07.823, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.95 W
2026/04/15 03:12:08.023, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.95 W
2026/04/15 03:12:08.223, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.95 W
2026/04/15 03:12:08.424, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.95 W
2026/04/15 03:12:08.624, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.95 W
2026/04/15 03:12:08.824, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.70 W
2026/04/15 03:12:09.024, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.70 W
2026/04/15 03:12:09.225, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:12:09.425, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.70 W
2026/04/15 03:12:09.625, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.70 W
2026/04/15 03:12:09.825, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:12:10.026, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:12:10.226, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:12:10.426, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:12:10.627, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:12:10.827, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:11.027, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:11.227, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:11.428, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:11.628, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:11.828, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:12.028, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:12.228, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:12.429, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:12.629, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:12.829, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.30 W
2026/04/15 03:12:13.029, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.30 W
2026/04/15 03:12:13.229, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.30 W
2026/04/15 03:12:13.430, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.30 W
2026/04/15 03:12:13.630, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.30 W
2026/04/15 03:12:13.830, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.25 W
2026/04/15 03:12:14.030, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.25 W
2026/04/15 03:12:14.231, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.25 W
2026/04/15 03:12:14.431, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.25 W
2026/04/15 03:12:14.631, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.25 W
2026/04/15 03:12:14.831, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.35 W
2026/04/15 03:12:15.032, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.35 W
2026/04/15 03:12:15.232, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.35 W
2026/04/15 03:12:15.432, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.35 W
2026/04/15 03:12:15.632, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.35 W
2026/04/15 03:12:15.832, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:12:16.033, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:12:16.233, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:12:16.433, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:12:16.633, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.45 W
2026/04/15 03:12:16.834, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:17.034, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:17.234, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:17.434, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:17.635, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:17.835, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:12:18.035, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:12:18.235, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:12:18.435, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:12:18.636, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:12:18.836, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:12:19.036, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:12:19.236, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:12:19.437, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:12:19.637, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:12:19.837, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.55 W
2026/04/15 03:12:20.037, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.55 W
2026/04/15 03:12:20.237, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.55 W
2026/04/15 03:12:20.438, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.55 W
2026/04/15 03:12:20.638, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.55 W
2026/04/15 03:12:20.838, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:21.038, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:21.239, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:21.439, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:21.639, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.40 W
2026/04/15 03:12:21.839, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:12:22.040, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:12:22.240, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:12:22.440, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:12:22.641, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.50 W
2026/04/15 03:12:22.841, NVIDIA L4, 0 %, 0 %, 0 MiB, 23034 MiB, 12.55 W
