request_id,latency_sec,status_code
2,0.031522779000169976,200
3,0.04669009000008373,200
1,0.05021341500014387,200
4,0.048608468000111316,200
5,0.034136751999994885,200
7,0.03353045999983806,200
8,0.03380867000032595,200
6,0.035452944000098796,200
9,0.027249771999777295,200
11,0.02853887199989913,200
12,0.028020153999932518,200
10,0.03135936699982267,200
13,0.025253214999793272,200
15,0.02493076500013558,200
17,0.03038834400013002,200
14,0.03558366400011437,200
16,0.03195633099994666,200
18,0.025609814999825176,200
20,0.033902547000252525,200
19,0.03594832800035874,200
