timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/13 03:18:58.580, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.14 W
2026/04/13 03:18:59.582, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.15 W
2026/04/13 03:19:00.583, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.11 W
2026/04/13 03:19:01.584, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.05 W
2026/04/13 03:19:02.586, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.14 W
2026/04/13 03:19:03.587, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.09 W
2026/04/13 03:19:04.588, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:19:05.589, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.20 W
2026/04/13 03:19:06.591, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.15 W
2026/04/13 03:19:07.592, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.14 W
2026/04/13 03:19:08.593, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.09 W
2026/04/13 03:19:09.595, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.05 W
2026/04/13 03:19:10.596, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.15 W
2026/04/13 03:19:11.598, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:19:12.599, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:19:13.600, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:19:14.602, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.06 W
2026/04/13 03:19:15.603, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.16 W
2026/04/13 03:19:16.605, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.11 W
2026/04/13 03:19:17.606, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.06 W
2026/04/13 03:19:18.607, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.15 W
2026/04/13 03:19:19.609, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.09 W
2026/04/13 03:19:20.610, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:19:21.611, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.11 W
2026/04/13 03:19:22.613, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.06 W
2026/04/13 03:19:23.614, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.16 W
2026/04/13 03:19:24.615, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.11 W
2026/04/13 03:19:25.616, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:19:26.618, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.09 W
