timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/13 03:29:16.055, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:16.256, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:16.456, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:16.656, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:16.856, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:17.056, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.25 W
2026/04/13 03:29:17.257, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.25 W
2026/04/13 03:29:17.457, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.25 W
2026/04/13 03:29:17.657, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.25 W
2026/04/13 03:29:17.857, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.25 W
2026/04/13 03:29:18.058, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.35 W
2026/04/13 03:29:18.258, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.35 W
2026/04/13 03:29:18.458, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.35 W
2026/04/13 03:29:18.658, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.35 W
2026/04/13 03:29:18.859, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.35 W
2026/04/13 03:29:19.059, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:19.259, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:19.459, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:19.660, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:19.860, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:20.060, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:20.261, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:20.461, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:20.661, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:20.862, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:21.062, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:21.262, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:21.462, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:21.663, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:21.863, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:22.063, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.25 W
2026/04/13 03:29:22.263, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.25 W
2026/04/13 03:29:22.464, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.25 W
2026/04/13 03:29:22.664, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.25 W
2026/04/13 03:29:22.864, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.25 W
2026/04/13 03:29:23.064, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.35 W
2026/04/13 03:29:23.264, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.35 W
2026/04/13 03:29:23.465, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.35 W
2026/04/13 03:29:23.665, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.35 W
2026/04/13 03:29:23.865, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.35 W
2026/04/13 03:29:24.065, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:24.266, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:24.466, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:24.666, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:24.866, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:25.066, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:25.267, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:25.468, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:25.668, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:25.868, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:26.068, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.40 W
2026/04/13 03:29:26.269, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.40 W
2026/04/13 03:29:26.469, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.40 W
2026/04/13 03:29:26.669, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.40 W
2026/04/13 03:29:26.869, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.40 W
2026/04/13 03:29:27.070, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:27.270, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:27.470, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:27.670, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:27.871, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:28.071, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:28.271, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:28.471, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:28.672, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:28.872, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:29.072, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:29.272, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:29.472, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:29.673, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:29.873, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:30.073, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:30.274, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:30.474, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.30 W
2026/04/13 03:29:30.675, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 32.86 W
2026/04/13 03:29:30.875, NVIDIA L4, 94 %, 100 %, 20972 MiB, 23034 MiB, 36.00 W
2026/04/13 03:29:31.075, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 41.44 W
2026/04/13 03:29:31.275, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 39.38 W
2026/04/13 03:29:31.476, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 37.91 W
2026/04/13 03:29:31.676, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 36.60 W
2026/04/13 03:29:31.876, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 34.44 W
2026/04/13 03:29:32.076, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 34.44 W
2026/04/13 03:29:32.277, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 34.44 W
2026/04/13 03:29:32.477, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 34.44 W
2026/04/13 03:29:32.677, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 34.44 W
2026/04/13 03:29:32.877, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.21 W
2026/04/13 03:29:33.077, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.21 W
2026/04/13 03:29:33.278, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.21 W
2026/04/13 03:29:33.478, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.21 W
2026/04/13 03:29:33.678, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.21 W
2026/04/13 03:29:33.878, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:29:34.079, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:29:34.279, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:29:34.479, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:29:34.679, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.10 W
2026/04/13 03:29:34.880, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.16 W
2026/04/13 03:29:35.080, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.16 W
2026/04/13 03:29:35.280, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.16 W
2026/04/13 03:29:35.480, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.16 W
2026/04/13 03:29:35.680, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.16 W
2026/04/13 03:29:35.881, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.16 W
2026/04/13 03:29:36.081, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.16 W
2026/04/13 03:29:36.281, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.16 W
2026/04/13 03:29:36.481, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.16 W
2026/04/13 03:29:36.681, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.16 W
2026/04/13 03:29:36.882, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.06 W
2026/04/13 03:29:37.082, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.06 W
2026/04/13 03:29:37.282, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.06 W
2026/04/13 03:29:37.482, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.06 W
2026/04/13 03:29:37.683, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.06 W
2026/04/13 03:29:37.883, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.16 W
2026/04/13 03:29:38.083, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.16 W
2026/04/13 03:29:38.283, NVIDIA L4, 0 %, 0 %, 20972 MiB, 23034 MiB, 28.16 W
