request_id,latency_sec,status_code
1,0.030049579999740672,200
5,0.03278688199998214,200
4,0.035250486000222736,200
3,0.03417538000030618,200
2,0.03995515399992655,200
6,0.031186602000161656,200
8,0.03598527600024681,200
7,0.03696791999982452,200
9,0.02628181400041285,200
10,0.037638688999777514,200
16,0.032287291000102414,200
12,0.03697502499971961,200
14,0.03445180500011702,200
13,0.03662405100021715,200
15,0.04220284900020488,200
11,0.04722742100011601,200
17,0.031017380000321282,200
19,0.03200580200018521,200
18,0.03377890900037528,200
22,0.02846794900005989,200
21,0.03102714599981482,200
20,0.033566188999884616,200
24,0.03192545199999586,200
25,0.031278554999971675,200
23,0.035747257999901194,200
26,0.030099721999704343,200
27,0.038064497000050324,200
32,0.02932557900021493,200
29,0.03853803099991637,200
33,0.030784972000219568,200
28,0.04310998999972071,200
31,0.03383214899986342,200
30,0.03715439699999479,200
34,0.025805049000155122,200
35,0.03445111499968334,200
36,0.03363973800014719,200
42,0.03128929700005756,200
41,0.040618351999910374,200
38,0.04555985600018175,200
37,0.043958457999906386,200
40,0.04541076199984673,200
39,0.041111381000064284,200
43,0.028839023999807978,200
44,0.029130722999980208,200
45,0.033797549000155414,200
48,0.03090676900001199,200
46,0.0436617479999768,200
49,0.03946093300010034,200
47,0.04290193199994974,200
50,0.03998607199991966,200
