request_id,latency_sec,status_code
0,0.03158476499993412,200
1,0.04889405499989152,200
2,0.04965744600008293,200
3,0.04843297699994764,200
4,0.03449274000013247,200
6,0.034825748999992356,200
5,0.036978899999894566,200
7,0.03529428000001644,200
8,0.027404087999912008,200
10,0.029974779000212948,200
11,0.030261101999940365,200
9,0.033000754999875426,200
12,0.026099353000063275,200
13,0.025653228999999556,200
15,0.031815824999966935,200
14,0.034210527000141155,200
16,0.0336817320001046,200
17,0.025637839999944845,200
18,0.027284676999897783,200
19,0.026212763999865274,200
